URL,Title,Visit Time,Visit Count,Visited From,Web Browser,User Profile,Browser Profile
http://c.betrad.com/ba.html?78f7264,,12/8/2014 7:54:51 PM,1,,Internet Explorer 10,Student,
https://www.openssl.org/source/,"OpenSSL: Source, Tarballs",12/8/2014 8:09:41 PM,1,https://www.openssl.org/,Firefox,Student,6g3svqjn.default
https://www.openssl.org/,OpenSSL: The Open Source toolkit for SSL/TLS,12/8/2014 8:09:37 PM,1,,Firefox,Student,6g3svqjn.default
http://www.bing.com/fd/fb/r?v=9_00_0_3534802&sId=6,,12/8/2014 8:06:35 PM,1,,Internet Explorer 10,Student,
https://www.google.com/search?q=openssl&ie=utf-8&oe=utf-8&aq=t&rls=org.mozilla:en-US:official&client=firefox-a&channel=fflb,openssl - Google Search,12/8/2014 8:09:33 PM,1,,Firefox,Student,6g3svqjn.default
http://www.facebook.com/plugins/like.php?action=recommend&app_id=80401312489&channel=http%3A%2F%2Fstatic.ak.facebook.com%2Fconnect%2Fxd_arbiter%2F7r8gQb8MIqE.js%3Fversion%3D41%23cb%3Df2f3918d9412952%26domain%3Dwww.cnn.com%26origin%3Dhttp%253A%252F%252Fwww.cnn.com%252Ff2f5806cf9d0c8e%26relation%3Dparent.parent&href=http%3A%2F%2Fwww.cnn.com%2F2014%2F11%2F20%2Fworld%2Fgallery%2F2014-cnn-heroes-show%2Findex.html&layout=button_count&locale=en_US&sdk=joey&send=false&show_faces=false&width=150,,12/8/2014 7:55:02 PM,1,,Internet Explorer 10,Student,
http://www.facebook.com/plugins/like.php?action=recommend&app_id=80401312489&channel=http%3A%2F%2Fstatic.ak.facebook.com%2Fconnect%2Fxd_arbiter%2F7r8gQb8MIqE.js%3Fversion%3D41%23cb%3Df19fbd31477f48%26domain%3Dwww.cnn.com%26origin%3Dhttp%253A%252F%252Fwww.cnn.com%252Ff16c665cd99455a%26relation%3Dparent.parent&href=http%3A%2F%2Fwww.cnn.com%2F2014%2F12%2F05%2Fliving%2Fgallery%2F2014-selfies-of-the-year%2Findex.html&layout=button_count&locale=en_US&sdk=joey&send=false&show_faces=false&width=150,,12/8/2014 7:54:55 PM,1,,Internet Explorer 10,Student,
http://ad.doubleclick.net/adi/N3148.468584.AMNETGROUPINC./B7978669.111562867;sz=300x250;click=http://pixel.mathtag.com/click/img?mt_aid=124068087196093779&mt_id=1034482&mt_adid=118492&mt_sid=510785&mt_exid=9&mt_uuid=ae8e5486-4853-488b-b109-a0fc222b19b4&mt_3pck=http%3A//beacon-us-east.rubiconproject.com/beacon/t/cc073d54-a3b9-486f-a5fa-4cfbaa42597a/&redirect=;ord=124068087196093779?,,12/8/2014 7:54:46 PM,1,,Internet Explorer 10,Student,
https://www.nsa.gov/public_info/speeches_testimonies/10oct14.shtml,10 Oct 2014 - Admiral Rogers Statement for NSA.gov Regarding National Cyber Security Awareness Month - Speeches & Testimonies - NSA/CSS,12/8/2014 8:09:21 PM,1,https://www.nsa.gov/public_info/speeches_testimonies/index.shtml,Firefox,Student,6g3svqjn.default
https://www.facebook.com/connect/ping?client_id=80401312489&domain=www.cnn.com&origin=1&redirect_uri=http%3A%2F%2Fstatic.ak.facebook.com%2Fconnect%2Fxd_arbiter%2F7r8gQb8MIqE.js%3Fversion%3D41%23cb%3Df7b2129d69e035%26domain%3Dwww.cnn.com%26origin%3Dhttp%253A%252F%252Fwww.cnn.com%252Ff239a32d8b5941%26relation%3Dparent&response_type=token%2Csigned_request%2Ccode&sdk=joey,,12/8/2014 7:54:47 PM,1,,Internet Explorer 10,Student,
https://www.facebook.com/connect/ping?client_id=80401312489&domain=www.cnn.com&origin=1&redirect_uri=http%3A%2F%2Fstatic.ak.facebook.com%2Fconnect%2Fxd_arbiter%2F7r8gQb8MIqE.js%3Fversion%3D41%23cb%3Dfc29d499cea5a3%26domain%3Dwww.cnn.com%26origin%3Dhttp%253A%252F%252Fwww.cnn.com%252Ff16c665cd99455a%26relation%3Dparent&response_type=token%2Csigned_request%2Ccode&sdk=joey,,12/8/2014 7:54:55 PM,1,,Internet Explorer 10,Student,
https://www.facebook.com/connect/ping?client_id=80401312489&domain=www.cnn.com&origin=1&redirect_uri=http%3A%2F%2Fstatic.ak.facebook.com%2Fconnect%2Fxd_arbiter%2F7r8gQb8MIqE.js%3Fversion%3D41%23cb%3Df3b920d6dee7284%26domain%3Dwww.cnn.com%26origin%3Dhttp%253A%252F%252Fwww.cnn.com%252Ff16c665cd99455a%26relation%3Dparent&response_type=token%2Csigned_request%2Ccode&sdk=joey,,12/8/2014 7:54:55 PM,1,,Internet Explorer 10,Student,
https://www.facebook.com/connect/ping?client_id=80401312489&domain=www.cnn.com&origin=1&redirect_uri=http%3A%2F%2Fstatic.ak.facebook.com%2Fconnect%2Fxd_arbiter%2F7r8gQb8MIqE.js%3Fversion%3D41%23cb%3Df1670682efc202c%26domain%3Dwww.cnn.com%26origin%3Dhttp%253A%252F%252Fwww.cnn.com%252Ff8d4e5ad6f6f%26relation%3Dparent&response_type=token%2Csigned_request%2Ccode&sdk=joey,,12/8/2014 7:54:51 PM,1,,Internet Explorer 10,Student,
https://www.facebook.com/dialog/oauth?response_type=extended_info%2ctoken%2csigned_request&display=none&client_id=111239619098&redirect_uri=http%3A%2F%2Fwww.bing.com%2Ffd%2Ffb%2Fu%3Fv%3D9_00_0_3534802%26sId%3D6%23,,12/8/2014 8:06:35 PM,1,,Internet Explorer 10,Student,
https://www.facebook.com/connect/ping?client_id=80401312489&domain=www.cnn.com&origin=1&redirect_uri=http%3A%2F%2Fstatic.ak.facebook.com%2Fconnect%2Fxd_arbiter%2F7r8gQb8MIqE.js%3Fversion%3D41%23cb%3Df2c93b910188ae2%26domain%3Dwww.cnn.com%26origin%3Dhttp%253A%252F%252Fwww.cnn.com%252Ff2f5806cf9d0c8e%26relation%3Dparent&response_type=token%2Csigned_request%2Ccode&sdk=joey,,12/8/2014 7:55:02 PM,1,,Internet Explorer 10,Student,
https://www.facebook.com/connect/ping?client_id=80401312489&domain=www.cnn.com&origin=1&redirect_uri=http%3A%2F%2Fstatic.ak.facebook.com%2Fconnect%2Fxd_arbiter%2F7r8gQb8MIqE.js%3Fversion%3D41%23cb%3Df398d417147e39a%26domain%3Dwww.cnn.com%26origin%3Dhttp%253A%252F%252Fwww.cnn.com%252Ff239a32d8b5941%26relation%3Dparent&response_type=token%2Csigned_request%2Ccode&sdk=joey,,12/8/2014 7:54:47 PM,1,,Internet Explorer 10,Student,
https://www.facebook.com/connect/ping?client_id=80401312489&domain=www.cnn.com&origin=1&redirect_uri=http%3A%2F%2Fstatic.ak.facebook.com%2Fconnect%2Fxd_arbiter%2F7r8gQb8MIqE.js%3Fversion%3D41%23cb%3Df3b4c38e90bb848%26domain%3Dwww.cnn.com%26origin%3Dhttp%253A%252F%252Fwww.cnn.com%252Ff2f5806cf9d0c8e%26relation%3Dparent&response_type=token%2Csigned_request%2Ccode&sdk=joey,,12/8/2014 7:55:02 PM,1,,Internet Explorer 10,Student,
https://www.facebook.com/connect/ping?client_id=80401312489&domain=www.cnn.com&origin=1&redirect_uri=http%3A%2F%2Fstatic.ak.facebook.com%2Fconnect%2Fxd_arbiter%2F7r8gQb8MIqE.js%3Fversion%3D41%23cb%3Df2aa4ce4202d52%26domain%3Dwww.cnn.com%26origin%3Dhttp%253A%252F%252Fwww.cnn.com%252Ff2f5806cf9d0c8e%26relation%3Dparent&response_type=token%2Csigned_request%2Ccode&sdk=joey,,12/8/2014 7:55:02 PM,1,,Internet Explorer 10,Student,
